"","Municipal","County","State","Region","Five Year Average","Five_Year_Average","Estimate; Median household income in the past 12 months (inflation-adjusted dollars)","Margin of Error; Median household income in the past 12 months (inflation-adjusted dollars)"
"1","Abington","Plymouth County","MA","Abington","2005-2009",2009,73956,8952
"2","Abington","Plymouth County","MA","Abington","2006-2010",2010,74589,7143
"3","Abington","Plymouth County","MA","Abington","2007-2011",2011,81677,9830
"4","Abington","Plymouth County","MA","Abington","2008-2012",2012,76164,7710
"5","Acton","Middlesex County","MA","Acton","2005-2009",2009,115677,7067
"6","Acton","Middlesex County","MA","Acton","2006-2010",2010,105523,7844
"7","Acton","Middlesex County","MA","Acton","2007-2011",2011,109491,11409
"8","Acton","Middlesex County","MA","Acton","2008-2012",2012,114458,10250
"9","Acushnet","Bristol County","MA","Acushnet","2005-2009",2009,60911,5238
"10","Acushnet","Bristol County","MA","Acushnet","2006-2010",2010,62457,6510
"11","Acushnet","Bristol County","MA","Acushnet","2007-2011",2011,64695,6947
"12","Acushnet","Bristol County","MA","Acushnet","2008-2012",2012,65222,4494
"13","Adams","Berkshire County","MA","Adams","2005-2009",2009,39768,3587
"14","Adams","Berkshire County","MA","Adams","2006-2010",2010,38340,2119
"15","Adams","Berkshire County","MA","Adams","2007-2011",2011,39080,2204
"16","Adams","Berkshire County","MA","Adams","2008-2012",2012,40039,2801
"17","Agawam","Hampden County","MA","Agawam","2006-2010",2010,62664,3075
"18","Agawam","Hampden County","MA","Agawam","2007-2011",2011,65339,2786
"19","Agawam","Hampden County","MA","Agawam","2008-2012",2012,66409,3383
"20","Agawam","Hampden County","MA","Agawam","2005-2009",2009,61944,3831
"21","Alford","Berkshire County","MA","Alford","2005-2009",2009,80208,14663
"22","Alford","Berkshire County","MA","Alford","2006-2010",2010,82500,19452
"23","Alford","Berkshire County","MA","Alford","2007-2011",2011,85833,19359
"24","Alford","Berkshire County","MA","Alford","2008-2012",2012,75417,30861
"25","Amesbury","Essex County","MA","Amesbury","2006-2010",2010,74968,5097
"26","Amesbury","Essex County","MA","Amesbury","2007-2011",2011,79293,5124
"27","Amesbury","Essex County","MA","Amesbury","2008-2012",2012,80062,4333
"28","Amesbury","Essex County","MA","Amesbury","2005-2009",2009,70522,6028
"29","Amherst","Hampshire County","MA","Amherst","2005-2009",2009,44011,5173
"30","Amherst","Hampshire County","MA","Amherst","2006-2010",2010,50063,6681
"31","Amherst","Hampshire County","MA","Amherst","2007-2011",2011,52281,4065
"32","Amherst","Hampshire County","MA","Amherst","2008-2012",2012,53733,5250
"33","Andover","Essex County","MA","Andover","2005-2009",2009,111851,4876
"34","Andover","Essex County","MA","Andover","2006-2010",2010,111002,6786
"35","Andover","Essex County","MA","Andover","2007-2011",2011,113936,6651
"36","Andover","Essex County","MA","Andover","2008-2012",2012,118324,6988
"37","Aquinnah","Dukes County","MA","Aquinnah","2005-2009",2009,44028,16103
"38","Aquinnah","Dukes County","MA","Aquinnah","2006-2010",2010,57500,31269
"39","Aquinnah","Dukes County","MA","Aquinnah","2007-2011",2011,82500,29608
"40","Aquinnah","Dukes County","MA","Aquinnah","2008-2012",2012,91875,56686
"41","Arlington","Middlesex County","MA","Arlington","2005-2009",2009,83740,4043
"42","Arlington","Middlesex County","MA","Arlington","2006-2010",2010,82771,3670
"43","Arlington","Middlesex County","MA","Arlington","2007-2011",2011,85059,4001
"44","Arlington","Middlesex County","MA","Arlington","2008-2012",2012,87525,3213
"45","Ashburnham","Worcester County","MA","Ashburnham","2005-2009",2009,82654,9924
"46","Ashburnham","Worcester County","MA","Ashburnham","2006-2010",2010,80000,10272
"47","Ashburnham","Worcester County","MA","Ashburnham","2007-2011",2011,81842,9251
"48","Ashburnham","Worcester County","MA","Ashburnham","2008-2012",2012,81690,7673
"49","Ashby","Middlesex County","MA","Ashby","2005-2009",2009,78750,11662
"50","Ashby","Middlesex County","MA","Ashby","2006-2010",2010,80143,9661
"51","Ashby","Middlesex County","MA","Ashby","2007-2011",2011,82614,8408
"52","Ashby","Middlesex County","MA","Ashby","2008-2012",2012,75435,8741
"53","Ashfield","Franklin County","MA","Ashfield","2005-2009",2009,60375,9393
"54","Ashfield","Franklin County","MA","Ashfield","2006-2010",2010,63438,7597
"55","Ashfield","Franklin County","MA","Ashfield","2007-2011",2011,66429,9296
"56","Ashfield","Franklin County","MA","Ashfield","2008-2012",2012,69000,10891
"57","Ashland","Middlesex County","MA","Ashland","2005-2009",2009,97500,6706
"58","Ashland","Middlesex County","MA","Ashland","2006-2010",2010,92974,11118
"59","Ashland","Middlesex County","MA","Ashland","2007-2011",2011,93770,9746
"60","Ashland","Middlesex County","MA","Ashland","2008-2012",2012,95296,8812
"61","Athol","Worcester County","MA","Athol","2005-2009",2009,47221,3306
"62","Athol","Worcester County","MA","Athol","2006-2010",2010,47099,3270
"63","Athol","Worcester County","MA","Athol","2007-2011",2011,50866,3371
"64","Athol","Worcester County","MA","Athol","2008-2012",2012,48414,4997
"65","Attleboro","Bristol County","MA","Attleboro","2005-2009",2009,65949,2643
"66","Attleboro","Bristol County","MA","Attleboro","2006-2010",2010,64634,3376
"67","Attleboro","Bristol County","MA","Attleboro","2007-2011",2011,65298,2833
"68","Attleboro","Bristol County","MA","Attleboro","2008-2012",2012,65767,2925
"69","Auburn","Worcester County","MA","Auburn","2005-2009",2009,68067,3158
"70","Auburn","Worcester County","MA","Auburn","2006-2010",2010,71375,5284
"71","Auburn","Worcester County","MA","Auburn","2007-2011",2011,73559,6177
"72","Auburn","Worcester County","MA","Auburn","2008-2012",2012,73068,4575
"73","Avon","Norfolk County","MA","Avon","2005-2009",2009,60933,6373
"74","Avon","Norfolk County","MA","Avon","2006-2010",2010,67313,14936
"75","Avon","Norfolk County","MA","Avon","2007-2011",2011,72880,12832
"76","Avon","Norfolk County","MA","Avon","2008-2012",2012,70481,8673
"77","Ayer","Middlesex County","MA","Ayer","2005-2009",2009,55529,6439
"78","Ayer","Middlesex County","MA","Ayer","2006-2010",2010,55863,8295
"79","Ayer","Middlesex County","MA","Ayer","2007-2011",2011,54899,7818
"80","Ayer","Middlesex County","MA","Ayer","2008-2012",2012,59144,8631
"81",NA,"Barnstable County","MA","Barnstable County","2005-2009",2009,60096,1245
"82",NA,"Barnstable County","MA","Barnstable County","2006-2010",2010,60317,1168
"83",NA,"Barnstable County","MA","Barnstable County","2007-2011",2011,60525,1544
"84",NA,"Barnstable County","MA","Barnstable County","2008-2012",2012,60424,1478
"85","Barnstable","Barnstable County","MA","Barnstable","2005-2009",2009,62671,2899
"86","Barnstable","Barnstable County","MA","Barnstable","2006-2010",2010,62264,2640
"87","Barnstable","Barnstable County","MA","Barnstable","2007-2011",2011,62191,2931
"88","Barnstable","Barnstable County","MA","Barnstable","2008-2012",2012,60745,2747
"89","Barre","Worcester County","MA","Barre","2005-2009",2009,72539,7237
"90","Barre","Worcester County","MA","Barre","2006-2010",2010,75423,8316
"91","Barre","Worcester County","MA","Barre","2007-2011",2011,73687,8265
"92","Barre","Worcester County","MA","Barre","2008-2012",2012,76234,9655
"93","Becket","Berkshire County","MA","Becket","2005-2009",2009,44135,9815
"94","Becket","Berkshire County","MA","Becket","2006-2010",2010,42031,4053
"95","Becket","Berkshire County","MA","Becket","2007-2011",2011,41852,5732
"96","Becket","Berkshire County","MA","Becket","2008-2012",2012,43397,6172
"97","Bedford","Middlesex County","MA","Bedford","2005-2009",2009,102367,9967
"98","Bedford","Middlesex County","MA","Bedford","2006-2010",2010,107639,11347
"99","Bedford","Middlesex County","MA","Bedford","2007-2011",2011,101886,13065
"100","Bedford","Middlesex County","MA","Bedford","2008-2012",2012,104623,11017
"101","Belchertown","Hampshire County","MA","Belchertown","2005-2009",2009,75068,3416
"102","Belchertown","Hampshire County","MA","Belchertown","2006-2010",2010,77090,6451
"103","Belchertown","Hampshire County","MA","Belchertown","2007-2011",2011,75502,6437
"104","Belchertown","Hampshire County","MA","Belchertown","2008-2012",2012,77617,7061
"105","Bellingham","Norfolk County","MA","Bellingham","2005-2009",2009,77826,6278
"106","Bellingham","Norfolk County","MA","Bellingham","2006-2010",2010,78290,7242
"107","Bellingham","Norfolk County","MA","Bellingham","2007-2011",2011,83534,4139
"108","Bellingham","Norfolk County","MA","Bellingham","2008-2012",2012,82859,7072
"109","Belmont","Middlesex County","MA","Belmont","2005-2009",2009,95377,5586
"110","Belmont","Middlesex County","MA","Belmont","2006-2010",2010,95197,5314
"111","Belmont","Middlesex County","MA","Belmont","2007-2011",2011,99529,6374
"112","Belmont","Middlesex County","MA","Belmont","2008-2012",2012,105717,4326
"113","Berkley","Bristol County","MA","Berkley","2005-2009",2009,84337,6618
"114","Berkley","Bristol County","MA","Berkley","2006-2010",2010,81125,8386
"115","Berkley","Bristol County","MA","Berkley","2007-2011",2011,81094,6937
"116","Berkley","Bristol County","MA","Berkley","2008-2012",2012,89549,9089
"117",NA,"Berkshire County","MA","Berkshire County","2005-2009",2009,49907,1590
"118",NA,"Berkshire County","MA","Berkshire County","2006-2010",2010,48907,1429
"119",NA,"Berkshire County","MA","Berkshire County","2007-2011",2011,48705,1494
"120",NA,"Berkshire County","MA","Berkshire County","2008-2012",2012,47513,1532
"121","Berlin","Worcester County","MA","Berlin","2005-2009",2009,91856,7867
"122","Berlin","Worcester County","MA","Berlin","2006-2010",2010,92917,10266
"123","Berlin","Worcester County","MA","Berlin","2007-2011",2011,94712,8909
"124","Berlin","Worcester County","MA","Berlin","2008-2012",2012,95438,14240
"125","Bernardston","Franklin County","MA","Bernardston","2005-2009",2009,59438,11420
"126","Bernardston","Franklin County","MA","Bernardston","2006-2010",2010,52875,12852
"127","Bernardston","Franklin County","MA","Bernardston","2007-2011",2011,50556,11302
"128","Bernardston","Franklin County","MA","Bernardston","2008-2012",2012,46776,7163
"129","Beverly","Essex County","MA","Beverly","2005-2009",2009,68407,4413
"130","Beverly","Essex County","MA","Beverly","2006-2010",2010,66671,4601
"131","Beverly","Essex County","MA","Beverly","2007-2011",2011,67733,3971
"132","Beverly","Essex County","MA","Beverly","2008-2012",2012,67958,4601
"133","Billerica","Middlesex County","MA","Billerica","2005-2009",2009,87048,3616
"134","Billerica","Middlesex County","MA","Billerica","2006-2010",2010,87073,4069
"135","Billerica","Middlesex County","MA","Billerica","2007-2011",2011,88531,3745
"136","Billerica","Middlesex County","MA","Billerica","2008-2012",2012,89957,4327
"137","Blackstone","Worcester County","MA","Blackstone","2005-2009",2009,73563,7814
"138","Blackstone","Worcester County","MA","Blackstone","2006-2010",2010,71875,5432
"139","Blackstone","Worcester County","MA","Blackstone","2007-2011",2011,73586,5103
"140","Blackstone","Worcester County","MA","Blackstone","2008-2012",2012,74042,5905
"141","Blandford","Hampden County","MA","Blandford","2005-2009",2009,71042,9655
"142","Blandford","Hampden County","MA","Blandford","2006-2010",2010,72188,8138
"143","Blandford","Hampden County","MA","Blandford","2007-2011",2011,78875,5882
"144","Blandford","Hampden County","MA","Blandford","2008-2012",2012,78750,5378
"145","Bolton","Worcester County","MA","Bolton","2005-2009",2009,124928,22137
"146","Bolton","Worcester County","MA","Bolton","2006-2010",2010,125741,8851
"147","Bolton","Worcester County","MA","Bolton","2007-2011",2011,137120,13008
"148","Bolton","Worcester County","MA","Bolton","2008-2012",2012,140439,8982
"149","Boston","Suffolk County","MA","Boston","2005-2009",2009,52433,960
"150","Boston","Suffolk County","MA","Boston","2006-2010",2010,50684,889
"151","Boston","Suffolk County","MA","Boston","2007-2011",2011,51739,846
"152","Boston","Suffolk County","MA","Boston","2008-2012",2012,53136,700
"153","Bourne","Barnstable County","MA","Bourne","2005-2009",2009,61914,5389
"154","Bourne","Barnstable County","MA","Bourne","2006-2010",2010,61418,3118
"155","Bourne","Barnstable County","MA","Bourne","2007-2011",2011,62531,5595
"156","Bourne","Barnstable County","MA","Bourne","2008-2012",2012,61312,5498
"157","Boxborough","Middlesex County","MA","Boxborough","2005-2009",2009,97051,5354
"158","Boxborough","Middlesex County","MA","Boxborough","2006-2010",2010,102222,11828
"159","Boxborough","Middlesex County","MA","Boxborough","2007-2011",2011,103918,14094
"160","Boxborough","Middlesex County","MA","Boxborough","2008-2012",2012,106597,12778
"161","Boxford","Essex County","MA","Boxford","2005-2009",2009,160691,31038
"162","Boxford","Essex County","MA","Boxford","2006-2010",2010,143045,25757
"163","Boxford","Essex County","MA","Boxford","2007-2011",2011,137159,22300
"164","Boxford","Essex County","MA","Boxford","2008-2012",2012,134263,23886
"165","Boylston","Worcester County","MA","Boylston","2005-2009",2009,85642,9441
"166","Boylston","Worcester County","MA","Boylston","2006-2010",2010,88214,9344
"167","Boylston","Worcester County","MA","Boylston","2007-2011",2011,91734,8226
"168","Boylston","Worcester County","MA","Boylston","2008-2012",2012,94676,13431
"169","Braintree","Norfolk County","MA","Braintree","2006-2010",2010,81146,2267
"170","Braintree","Norfolk County","MA","Braintree","2007-2011",2011,83710,3311
"171","Braintree","Norfolk County","MA","Braintree","2008-2012",2012,85208,4806
"172","Braintree","Norfolk County","MA","Braintree","2005-2009",2009,78206,3692
"173","Brewster","Barnstable County","MA","Brewster","2005-2009",2009,57857,5049
"174","Brewster","Barnstable County","MA","Brewster","2006-2010",2010,58374,3907
"175","Brewster","Barnstable County","MA","Brewster","2007-2011",2011,59321,6797
"176","Brewster","Barnstable County","MA","Brewster","2008-2012",2012,63922,7059
"177","Bridgewater","Plymouth County","MA","Bridgewater","2005-2009",2009,84176,4598
"178","Bridgewater","Plymouth County","MA","Bridgewater","2006-2010",2010,86002,3607
"179","Bridgewater","Plymouth County","MA","Bridgewater","2007-2011",2011,88697,3901
"180","Bridgewater","Plymouth County","MA","Bridgewater","2008-2012",2012,90722,3193
"181","Brimfield","Hampden County","MA","Brimfield","2005-2009",2009,74355,8139
"182","Brimfield","Hampden County","MA","Brimfield","2006-2010",2010,75625,9859
"183","Brimfield","Hampden County","MA","Brimfield","2007-2011",2011,78380,13227
"184","Brimfield","Hampden County","MA","Brimfield","2008-2012",2012,79891,16479
"185",NA,"Bristol County","MA","Bristol County","2005-2009",2009,55789,758
"186",NA,"Bristol County","MA","Bristol County","2006-2010",2010,54955,849
"187",NA,"Bristol County","MA","Bristol County","2007-2011",2011,55813,882
"188",NA,"Bristol County","MA","Bristol County","2008-2012",2012,55995,928
"189","Brockton","Plymouth County","MA","Brockton","2005-2009",2009,50197,2299
"190","Brockton","Plymouth County","MA","Brockton","2006-2010",2010,49913,2294
"191","Brockton","Plymouth County","MA","Brockton","2007-2011",2011,49848,1876
"192","Brockton","Plymouth County","MA","Brockton","2008-2012",2012,49459,1857
"193","Brookfield","Worcester County","MA","Brookfield","2005-2009",2009,65036,12562
"194","Brookfield","Worcester County","MA","Brookfield","2006-2010",2010,60189,6723
"195","Brookfield","Worcester County","MA","Brookfield","2007-2011",2011,62390,7161
"196","Brookfield","Worcester County","MA","Brookfield","2008-2012",2012,62209,5440
"197","Brookline","Norfolk County","MA","Brookline","2005-2009",2009,92451,4039
"198","Brookline","Norfolk County","MA","Brookline","2006-2010",2010,95448,5181
"199","Brookline","Norfolk County","MA","Brookline","2007-2011",2011,97250,5606
"200","Brookline","Norfolk County","MA","Brookline","2008-2012",2012,95471,5354
"201","Buckland","Franklin County","MA","Buckland","2005-2009",2009,50350,10303
"202","Buckland","Franklin County","MA","Buckland","2006-2010",2010,49485,14139
"203","Buckland","Franklin County","MA","Buckland","2007-2011",2011,61750,10038
"204","Buckland","Franklin County","MA","Buckland","2008-2012",2012,51000,14955
"205","Burlington","Middlesex County","MA","Burlington","2005-2009",2009,90000,7990
"206","Burlington","Middlesex County","MA","Burlington","2006-2010",2010,90341,8098
"207","Burlington","Middlesex County","MA","Burlington","2007-2011",2011,92236,8279
"208","Burlington","Middlesex County","MA","Burlington","2008-2012",2012,92791,8133
"209","Cambridge","Middlesex County","MA","Cambridge","2005-2009",2009,64420,2223
"210","Cambridge","Middlesex County","MA","Cambridge","2006-2010",2010,64865,2300
"211","Cambridge","Middlesex County","MA","Cambridge","2007-2011",2011,69017,2758
"212","Cambridge","Middlesex County","MA","Cambridge","2008-2012",2012,72225,2402
"213","Canton","Norfolk County","MA","Canton","2005-2009",2009,88034,4512
"214","Canton","Norfolk County","MA","Canton","2006-2010",2010,89705,4739
"215","Canton","Norfolk County","MA","Canton","2007-2011",2011,90951,5690
"216","Canton","Norfolk County","MA","Canton","2008-2012",2012,90259,5102
"217","Carlisle","Middlesex County","MA","Carlisle","2005-2009",2009,160903,10729
"218","Carlisle","Middlesex County","MA","Carlisle","2006-2010",2010,155000,18244
"219","Carlisle","Middlesex County","MA","Carlisle","2007-2011",2011,159063,19239
"220","Carlisle","Middlesex County","MA","Carlisle","2008-2012",2012,160000,16657
"221","Carver","Plymouth County","MA","Carver","2005-2009",2009,70721,6179
"222","Carver","Plymouth County","MA","Carver","2006-2010",2010,71112,5193
"223","Carver","Plymouth County","MA","Carver","2007-2011",2011,70608,8121
"224","Carver","Plymouth County","MA","Carver","2008-2012",2012,67963,9072
"225","Charlemont","Franklin County","MA","Charlemont","2005-2009",2009,49792,17750
"226","Charlemont","Franklin County","MA","Charlemont","2006-2010",2010,59063,17548
"227","Charlemont","Franklin County","MA","Charlemont","2007-2011",2011,53281,10836
"228","Charlemont","Franklin County","MA","Charlemont","2008-2012",2012,52222,7721
"229","Charlton","Worcester County","MA","Charlton","2005-2009",2009,86857,6062
"230","Charlton","Worcester County","MA","Charlton","2006-2010",2010,87758,5690
"231","Charlton","Worcester County","MA","Charlton","2007-2011",2011,91653,5637
"232","Charlton","Worcester County","MA","Charlton","2008-2012",2012,95058,4567
"233","Chatham","Barnstable County","MA","Chatham","2005-2009",2009,64824,5529
"234","Chatham","Barnstable County","MA","Chatham","2006-2010",2010,65990,4077
"235","Chatham","Barnstable County","MA","Chatham","2007-2011",2011,69325,7596
"236","Chatham","Barnstable County","MA","Chatham","2008-2012",2012,66853,6340
"237","Chelmsford","Middlesex County","MA","Chelmsford","2005-2009",2009,89022,5405
"238","Chelmsford","Middlesex County","MA","Chelmsford","2006-2010",2010,92550,7067
"239","Chelmsford","Middlesex County","MA","Chelmsford","2007-2011",2011,90895,3891
"240","Chelmsford","Middlesex County","MA","Chelmsford","2008-2012",2012,92549,3052
"241","Chelsea","Suffolk County","MA","Chelsea","2005-2009",2009,39710,3802
"242","Chelsea","Suffolk County","MA","Chelsea","2006-2010",2010,40487,3481
"243","Chelsea","Suffolk County","MA","Chelsea","2007-2011",2011,43155,2928
"244","Chelsea","Suffolk County","MA","Chelsea","2008-2012",2012,43919,3488
"245","Cheshire","Berkshire County","MA","Cheshire","2005-2009",2009,57794,6483
"246","Cheshire","Berkshire County","MA","Cheshire","2006-2010",2010,57419,7580
"247","Cheshire","Berkshire County","MA","Cheshire","2007-2011",2011,56597,5835
"248","Cheshire","Berkshire County","MA","Cheshire","2008-2012",2012,49388,7403
"249","Chester","Hampden County","MA","Chester","2005-2009",2009,56125,9023
"250","Chester","Hampden County","MA","Chester","2006-2010",2010,55208,9150
"251","Chester","Hampden County","MA","Chester","2007-2011",2011,56711,7568
"252","Chester","Hampden County","MA","Chester","2008-2012",2012,63452,5019
"253","Chesterfield","Hampshire County","MA","Chesterfield","2005-2009",2009,60000,7370
"254","Chesterfield","Hampshire County","MA","Chesterfield","2006-2010",2010,58750,4506
"255","Chesterfield","Hampshire County","MA","Chesterfield","2007-2011",2011,59063,6743
"256","Chesterfield","Hampshire County","MA","Chesterfield","2008-2012",2012,61198,3892
"257","Chicopee","Hampden County","MA","Chicopee","2005-2009",2009,42788,2263
"258","Chicopee","Hampden County","MA","Chicopee","2006-2010",2010,44226,2012
"259","Chicopee","Hampden County","MA","Chicopee","2007-2011",2011,45763,1562
"260","Chicopee","Hampden County","MA","Chicopee","2008-2012",2012,46861,1644
"261","Chilmark","Dukes County","MA","Chilmark","2005-2009",2009,82813,18119
"262","Chilmark","Dukes County","MA","Chilmark","2006-2010",2010,72917,25061
"263","Chilmark","Dukes County","MA","Chilmark","2007-2011",2011,59583,18748
"264","Chilmark","Dukes County","MA","Chilmark","2008-2012",2012,61818,17820
"265","Clarksburg","Berkshire County","MA","Clarksburg","2005-2009",2009,57454,4238
"266","Clarksburg","Berkshire County","MA","Clarksburg","2006-2010",2010,52054,6519
"267","Clarksburg","Berkshire County","MA","Clarksburg","2007-2011",2011,54095,5769
"268","Clarksburg","Berkshire County","MA","Clarksburg","2008-2012",2012,59219,6628
"269","Clinton","Worcester County","MA","Clinton","2005-2009",2009,58553,3124
"270","Clinton","Worcester County","MA","Clinton","2006-2010",2010,58826,3261
"271","Clinton","Worcester County","MA","Clinton","2007-2011",2011,61796,3839
"272","Clinton","Worcester County","MA","Clinton","2008-2012",2012,66308,6994
"273","Cohasset","Norfolk County","MA","Cohasset","2005-2009",2009,112917,29758
"274","Cohasset","Norfolk County","MA","Cohasset","2006-2010",2010,114214,16450
"275","Cohasset","Norfolk County","MA","Cohasset","2007-2011",2011,117831,23754
"276","Cohasset","Norfolk County","MA","Cohasset","2008-2012",2012,120508,17590
"277","Colrain","Franklin County","MA","Colrain","2005-2009",2009,60028,6259
"278","Colrain","Franklin County","MA","Colrain","2006-2010",2010,58611,8350
"279","Colrain","Franklin County","MA","Colrain","2007-2011",2011,53813,4475
"280","Colrain","Franklin County","MA","Colrain","2008-2012",2012,54632,5401
"281","Concord","Middlesex County","MA","Concord","2005-2009",2009,127563,11217
"282","Concord","Middlesex County","MA","Concord","2006-2010",2010,119858,15136
"283","Concord","Middlesex County","MA","Concord","2007-2011",2011,127951,12547
"284","Concord","Middlesex County","MA","Concord","2008-2012",2012,131507,10612
"285","Conway","Franklin County","MA","Conway","2005-2009",2009,78095,6167
"286","Conway","Franklin County","MA","Conway","2006-2010",2010,78309,5743
"287","Conway","Franklin County","MA","Conway","2007-2011",2011,80313,6795
"288","Conway","Franklin County","MA","Conway","2008-2012",2012,76932,10094
"289","Cummington","Hampshire County","MA","Cummington","2005-2009",2009,54375,11804
"290","Cummington","Hampshire County","MA","Cummington","2006-2010",2010,60000,13777
"291","Cummington","Hampshire County","MA","Cummington","2007-2011",2011,58750,14232
"292","Cummington","Hampshire County","MA","Cummington","2008-2012",2012,51250,7688
"293","Dalton","Berkshire County","MA","Dalton","2005-2009",2009,54734,6843
"294","Dalton","Berkshire County","MA","Dalton","2006-2010",2010,57222,4012
"295","Dalton","Berkshire County","MA","Dalton","2007-2011",2011,52285,7143
"296","Dalton","Berkshire County","MA","Dalton","2008-2012",2012,49891,8589
"297","Danvers","Essex County","MA","Danvers","2005-2009",2009,75774,3474
"298","Danvers","Essex County","MA","Danvers","2006-2010",2010,75310,4754
"299","Danvers","Essex County","MA","Danvers","2007-2011",2011,78593,3651
"300","Danvers","Essex County","MA","Danvers","2008-2012",2012,79183,5195
"301","Dartmouth","Bristol County","MA","Dartmouth","2005-2009",2009,69263,2045
"302","Dartmouth","Bristol County","MA","Dartmouth","2006-2010",2010,70007,2188
"303","Dartmouth","Bristol County","MA","Dartmouth","2007-2011",2011,73007,3166
"304","Dartmouth","Bristol County","MA","Dartmouth","2008-2012",2012,71189,3426
"305","Dedham","Norfolk County","MA","Dedham","2005-2009",2009,77411,5094
"306","Dedham","Norfolk County","MA","Dedham","2006-2010",2010,80865,5668
"307","Dedham","Norfolk County","MA","Dedham","2007-2011",2011,83364,4793
"308","Dedham","Norfolk County","MA","Dedham","2008-2012",2012,82193,6492
"309","Deerfield","Franklin County","MA","Deerfield","2005-2009",2009,66703,9790
"310","Deerfield","Franklin County","MA","Deerfield","2006-2010",2010,61912,13385
"311","Deerfield","Franklin County","MA","Deerfield","2007-2011",2011,69744,9238
"312","Deerfield","Franklin County","MA","Deerfield","2008-2012",2012,66970,12048
"313","Dennis","Barnstable County","MA","Dennis","2005-2009",2009,50694,3664
"314","Dennis","Barnstable County","MA","Dennis","2006-2010",2010,50642,3842
"315","Dennis","Barnstable County","MA","Dennis","2007-2011",2011,51580,3862
"316","Dennis","Barnstable County","MA","Dennis","2008-2012",2012,49058,4580
"317","Dighton","Bristol County","MA","Dighton","2005-2009",2009,83503,7538
"318","Dighton","Bristol County","MA","Dighton","2006-2010",2010,83621,7307
"319","Dighton","Bristol County","MA","Dighton","2007-2011",2011,85284,6847
"320","Dighton","Bristol County","MA","Dighton","2008-2012",2012,85070,9883
"321","Douglas","Worcester County","MA","Douglas","2005-2009",2009,85325,9307
"322","Douglas","Worcester County","MA","Douglas","2006-2010",2010,86214,6773
"323","Douglas","Worcester County","MA","Douglas","2007-2011",2011,81000,10811
"324","Douglas","Worcester County","MA","Douglas","2008-2012",2012,81073,5916
"325","Dover","Norfolk County","MA","Dover","2005-2009",2009,156731,22663
"326","Dover","Norfolk County","MA","Dover","2006-2010",2010,164583,26889
"327","Dover","Norfolk County","MA","Dover","2007-2011",2011,184646,20312
"328","Dover","Norfolk County","MA","Dover","2008-2012",2012,187598,26229
"329","Dracut","Middlesex County","MA","Dracut","2005-2009",2009,71480,3398
"330","Dracut","Middlesex County","MA","Dracut","2006-2010",2010,70833,3876
"331","Dracut","Middlesex County","MA","Dracut","2007-2011",2011,71824,4739
"332","Dracut","Middlesex County","MA","Dracut","2008-2012",2012,73331,5397
"333","Dudley","Worcester County","MA","Dudley","2005-2009",2009,69255,9055
"334","Dudley","Worcester County","MA","Dudley","2006-2010",2010,64782,7772
"335","Dudley","Worcester County","MA","Dudley","2007-2011",2011,72500,7048
"336","Dudley","Worcester County","MA","Dudley","2008-2012",2012,70513,5778
"337",NA,"Dukes County","MA","Dukes County","2005-2009",2009,62472,7379
"338",NA,"Dukes County","MA","Dukes County","2006-2010",2010,62407,8087
"339",NA,"Dukes County","MA","Dukes County","2007-2011",2011,69760,9374
"340",NA,"Dukes County","MA","Dukes County","2008-2012",2012,65896,5828
"341","Dunstable","Middlesex County","MA","Dunstable","2005-2009",2009,109333,11654
"342","Dunstable","Middlesex County","MA","Dunstable","2006-2010",2010,113594,11028
"343","Dunstable","Middlesex County","MA","Dunstable","2007-2011",2011,109205,9643
"344","Dunstable","Middlesex County","MA","Dunstable","2008-2012",2012,109211,8231
"345","Duxbury","Plymouth County","MA","Duxbury","2005-2009",2009,113883,8419
"346","Duxbury","Plymouth County","MA","Duxbury","2006-2010",2010,114565,7994
"347","Duxbury","Plymouth County","MA","Duxbury","2007-2011",2011,122396,11209
"348","Duxbury","Plymouth County","MA","Duxbury","2008-2012",2012,117197,7302
"349","East Bridgewater","Plymouth County","MA","East Bridgewater","2005-2009",2009,76438,4296
"350","East Bridgewater","Plymouth County","MA","East Bridgewater","2006-2010",2010,78492,6107
"351","East Bridgewater","Plymouth County","MA","East Bridgewater","2007-2011",2011,79676,4004
"352","East Bridgewater","Plymouth County","MA","East Bridgewater","2008-2012",2012,80169,7471
"353","East Brookfield","Worcester County","MA","East Brookfield","2005-2009",2009,68438,18135
"354","East Brookfield","Worcester County","MA","East Brookfield","2006-2010",2010,71964,22129
"355","East Brookfield","Worcester County","MA","East Brookfield","2007-2011",2011,62350,13589
"356","East Brookfield","Worcester County","MA","East Brookfield","2008-2012",2012,62202,14025
"357","East Longmeadow","Hampden County","MA","East Longmeadow","2005-2009",2009,78578,3205
"358","East Longmeadow","Hampden County","MA","East Longmeadow","2006-2010",2010,77956,6201
"359","East Longmeadow","Hampden County","MA","East Longmeadow","2007-2011",2011,76517,5854
"360","East Longmeadow","Hampden County","MA","East Longmeadow","2008-2012",2012,82451,6000
"361","Eastham","Barnstable County","MA","Eastham","2005-2009",2009,55675,11057
"362","Eastham","Barnstable County","MA","Eastham","2006-2010",2010,58750,18582
"363","Eastham","Barnstable County","MA","Eastham","2007-2011",2011,56029,17629
"364","Eastham","Barnstable County","MA","Eastham","2008-2012",2012,57703,14245
